SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0050132,50,48,33,75,44,36,34,59,38,64,72,18,,17,97,67,77,55,79,251,70,10,,79,159,,75,156,71,61,74
0050133,,,38,2,10,50,,,,4,,,5,,,17,14,21,2,4,8,4,,,,3,2,1,6,2,1
0050134,43,15,16,18,,,8,24,18,7,5,17,44,18,,30,5,56,69,71,,,,74,11,19,83,58,23,75,130
0050135,,,9,10,,,,,17,,30,,,,9,2,14,5,36,7,,,15,10,1,16,8,3,,12,
0050136,266,144,232,139,235,77,111,134,199,121,69,203,193,104,181,156,417,4,170,241,366,194,73,267,329,,492,276,141,375,281
0050137,54,28,30,29,6,22,1,29,1,12,7,8,5,65,,25,28,1,,16,16,15,,6,43,4,4,11,5,16,10
0050138,26,9,5,39,5,16,35,3,19,58,,33,15,,18,17,31,12,28,45,22,10,,35,36,4,21,48,25,19,59
0050140,33,41,36,29,31,24,54,21,22,21,13,66,56,46,40,27,25,38,36,51,1,3,,38,57,4,97,2,8,38,35
0050141,79,192,49,115,73,104,45,40,123,115,7,116,118,63,158,118,154,28,178,2,198,73,133,111,323,2,110,157,35,116,158
0050142,14,22,,27,34,19,32,103,,1,1,50,20,66,36,38,104,2,59,13,,,,24,49,58,70,85,11,44,43
0050143,22,36,21,20,9,24,53,24,,,0,10,20,14,34,17,42,18,13,19,27,19,14,5,31,22,10,16,27,41,8
0050144,,3,30,,6,4,,1,12,8,3,8,3,4,3,,17,,,11,21,,,1,,4,1,13,20,4,4
0050145,37,30,43,53,56,15,72,48,45,4,6,58,44,32,27,32,75,77,30,89,104,19,58,17,111,,93,100,64,55,86
