SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0120015,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
0120017,,,,,,52,,2,,,,,185,,,,,,,,,,,,,,,,,,
0120018,,,,,,,,,,,,1,243,,,,,,,,,,,,,,,,,,
0120019,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
0120022,7,,,,,10,,,,,,,12,,,,,,,,,,,,,,,,,,
0120023,,,,,,40,,,,,,,14,,,,,,,,,,,,,,,,,,
0120024,,,,,,20,,,,,,,6,,,,,,,,,,,,,,,,,,
0120032,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
0120033,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,
0120034,,,,,,4,,,,,,,34,,,,,,,,,,,,,,,,,,
0120037,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,
0120044,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,
0120045,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,
0120049,,,20,11,,9,,,,,,2,154,,,,,,,,,,,,,,,,,,
0120050,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,
0120051,,1,65,,1,,,,,,,,63,,,,,,,,,,,,,,,,,,
0120052,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
0120053,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0120056,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0120060,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,
0120061,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,
0120062,,,,,,1,,,,,,,13,,,,,,,,,,,,,,,,,,
0120063,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,
0120064,,,,,,1,,,,,,,23,,,,,,,,,,,,,,,,,,
0120065,,,,,,,,,,,,11,37,,,,,,,,,,,,,,,,,,
0120066,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,
0120067,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
0120068,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
0120096,,,,,,,,,,,,,974,,,,,,,,,,,,,,,,,,
0120098,,,,,,,,,,,,,569,,,,,,,,,,,,,,,,,,
0120099,,,,,,,,,,,3,,118,,,,,,,,,,,,,,,,,,
0120111,,,,,,26,,,,,,,169,,,,,,,,,,,,,,,,,,
0120113,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,
0120118,4,2,,,,,,,8,90,,,10,,,,,,,,,,,,,,,,,,
0120120,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,
0120121,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,
0120124,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,
