Número de artículo,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0240207,25,,,,,,,420,657,240,295,109,114,171,44,51,"1,328",205,329,20,4,,,,,,,,,3,
0240208,886,577,453,90,,,,268,197,84,53,414,19,10,30,48,9,368,7,100,4,,21,7,,,,,,,
0240209,399,176,178,639,280,216,108,130,96,63,66,61,38,16,4,20,42,190,126,8,54,,,,106,,,,,,
0240210,683,490,626,742,425,396,856,409,227,28,,,,,,,,,,,,,,,,,,,,,
0240211,275,14,,,,,,164,442,245,82,6,14,12,,10,2,21,2,,4,,,,,,,,,,
0240212,50,33,32,12,12,88,455,18,6,91,81,51,32,22,14,24,14,4,31,391,27,,,24,,,,2,,46,35
0240213,116,57,16,1,,1,,295,214,48,28,,8,,,,,,9,,,,,8,,,,,,,1
0240214,8,134,213,119,74,450,8,67,68,31,27,12,81,8,,10,65,51,106,1,,,,2,,4,,2,,,
0240215,108,92,,30,112,52,9,20,16,40,6,43,,24,,4,17,8,76,20,8,,,1,4,4,,89,24,4,84
0240216,64,,16,10,,,,4,46,21,56,10,,,,,,,48,,4,,,,,,,,,,24
0240217,60,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0240218,30,,104,,20,26,108,31,,20,6,,15,,4,20,,2,3,5,,,,,,,,,,4,
0240222,81,32,4,44,48,10,100,,4,12,6,40,,,,20,4,,,,,,,12,,,,,,,
0240224,34,4,,46,20,,,6,,,,,,,,,,,,,,,,,,,,,,,
0240260,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4
0370599,3,,2,2,1,5,1,,1,,,,,,,,,,,,,,,,,,,,,,
0370600,3,,1,1,8,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
0370601,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0370602,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0370603,,,13,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
0370604,3,3,,,,,,6,,,,,,,,,,2,,,,,,,,,,,,,
0406006,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0406021,,,,,,30,,,,,,,,,,,,,,,,,,300,6,3,,,,,
