Número de artículo,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
1340150,836,"2,210",234,"1,460",320,298,196,644,137,"1,426",466,490,"1,189",262,662,682,628,"3,446",114,"1,484",48,75,"1,090",689,"2,476",430,278,396,614,220,490
1340152,112,"2,052",967,474,282,870,"2,088","1,056","3,052","1,200","1,024","1,448","1,974",707,844,652,286,496,928,530,322,246,968,"2,082","2,820","2,839",584,672,"1,438",568,"2,046"
1340180,301,923,442,194,366,220,68,60,236,144,54,104,546,522,"1,112",539,24,438,20,150,"1,410",,120,"1,679","1,496",109,220,287,68,450,149
1340199,,,,"4,050","3,550","10,634","11,788","7,100","4,688","2,056",134,,,,,,,"4,460","7,612","5,209","5,558","5,369","29,930","22,118","6,548",912,,,,18,484
1340200,"7,468","10,755","9,588","10,230","4,354","11,842","9,781","8,809","6,682","9,051","12,123","16,936","12,571","10,274","13,124","8,642","13,810","15,847","5,220","10,060","8,684","5,249","18,438","16,040","12,156","19,414","5,775",322,348,244,540
1340201,"1,741","6,983","3,848","4,995","6,288","8,116","7,642","6,809","6,210","5,670","8,013","4,176","5,936","10,444","9,427","5,868","11,953","8,037","3,419","9,133","6,552","4,861","12,634","8,923","8,302","17,762","27,850","14,931","10,602",474,458
1340202,"3,914","4,736","3,382","4,101","5,616","6,352","7,282","5,475","6,089","7,542","8,408","2,969","4,702","7,095","3,397","3,608","6,238","8,334","6,414","4,058","9,960","3,536","4,435","5,825","11,783","7,768",418,,,,440
1340230,988,"2,154",390,"1,508","3,810","1,770","2,307","3,488","1,402","3,056","2,146","1,660","1,742","2,222","1,196",630,"2,042","1,965","2,008","2,548","2,102",576,"2,050","2,290","2,390","1,714","3,820","1,329","4,892","2,673","2,754"
1340231,674,"2,076","1,372","2,251","1,483","1,306","2,066","1,612","1,096","2,562",710,"1,696",812,"2,016",872,"1,334",7,880,"1,096","2,218",322,"1,888","2,096","3,888","1,999","1,549","1,324","2,360",924,"1,614","1,996"
1340232,64,30,52,120,546,"2,065","1,240",671,281,"1,428",610,"1,197","1,180","1,495",468,196,738,366,450,"2,670",658,386,"1,566",750,"2,548",458,"2,060","1,244","1,254",217,36
1340234,"1,132",776,569,188,334,915,346,273,566,386,268,500,220,"1,053",542,98,370,707,"1,086",214,202,62,576,530,568,"1,804",544,838,"1,694",122,42
1340400,,,,7,2,12,16,20,81,10,62,68,19,43,18,46,9,12,4,34,5,86,9,63,67,39,28,34,21,5,7
1340401,,,,11,2,9,43,33,15,9,12,88,14,40,6,66,50,8,15,15,7,7,30,15,63,50,13,30,45,24,37
1340402,,,,12,9,15,21,21,19,24,13,20,7,46,115,22,43,28,31,58,45,7,70,40,29,28,35,35,74,34,125
1340403,,,,12,4,3,10,32,6,9,20,53,8,50,215,30,20,6,23,12,7,13,13,15,21,9,17,46,15,14,12
1340404,,,,31,19,27,26,15,42,46,70,24,27,62,43,52,40,17,29,58,32,14,30,85,31,85,74,41,49,25,32
1340405,,,,26,38,42,31,67,43,106,246,101,159,91,67,76,135,53,63,74,37,54,115,101,38,118,128,71,108,73,173
1340406,,,,17,17,26,31,29,17,40,37,73,16,62,36,24,24,23,77,58,33,21,37,51,21,43,26,53,42,37,59
1496020,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533890,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,
1533892,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,
1770040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,
1770130,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1770140,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
1770145,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,
1770155,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,
