Cantidad,Importe
221849,108654.14
123,108610.82
4406,108605.25
3833,108476.21
1469,108367.68
601,108250.52
79,108175.29
512,108142.22
356,108089.95
1645,107962.37
3259,107847.92
513,107672.4
62418,107567.43
1113,107515.62
1480,107342.61
401,107008.62
2160,106862.17
3055,106826.57
53,106794.92
4168,106661.15
2489,106642.07
2599,106572.07
1221,106241.7
1938,106182.67
146,105922.26
1310,105769.34
1106,105714.68
1646,105688.96
304,105612.89
3516,105359.88
3399,105330.72
600,105179.97
408,105179.49
2191,105138.39
16775,105003.67
57,104862.65
66,104761.09
5502,104671.04
45987,104389.29
10134,104195.15
7681,103890.42
6990,103625.53
8086,103536.32
180,103184.42
656,103097
14508,102639.67
992,102594.85
465,102509.26
1126,102503.95
306,102405.26
558,102352.19
41305,102148.55
31,101985.59
3592,101947.91
7456,101898.93
2672,101873.18
426,101726.26
216,101675.19
1514,101563.43
762,101558.62
9135,101545.75
2836,101387.7
1555,101357.58
293837,101126.58
113,101004.92
2336,100823.11
757,100812.9
1130,100804.95
9034,100757.47
6003,100635.31
643,100421.77
503,100323.33
379,100216.01
2003,100079.68
21737,100053.94
178670,99992.98
290,99951.44
871,99923.7
1875,99905.35
6562,99898.93
134,99865.19
123,99805.77
3051,99804.7
1057,99749.29
525,99719.76
2771,99684.8
157,99682.58
3674,99515.36
28383,99484.22
4055,99114.72
28,99067.73
178,98686.84
109,98491.97
1148,98484.98
2186,98109.51
3346,98054.16
45,98044.03
1406,97959.54
192,97814.91
49360,97770.1
416,97667.13
1315,97471.67
1971,97403.17
1340,97214.67
21,97046.89
2580,96854.15
26049,96746.37
1424,96696.2
65,96553.14
340,96541.76
196,96428.33
39,96388.08
3720,96364.22
367,96299.62
15365,96211.07
1567,95993.34
908,95915.87
277,95762.93
45,95713.96
38066,95678.17
7093,95581.28
2352,95569.31
72,95384.24
29,95300
1032,95176.93
162,94897.52
1616,94839.06
3611,94743.21
3587,94618.07
701,94557.51
362,94435.08
3097,94280.42
2354,94249.04
1506,94248.03
2324,93935.89
2469,93877.43
1552,93735.88
5904,93642.63
44,93607.8
2349,93539.45
141,93532.33
1052,93515.79
1176,93499.92
9834,93474.29
59,93450.5
44679,93367.87
1308,92887.49
1226,92699.81
3204,92412.7
15820,92367.82
1118,92210.55
5087,92169.19
444,92147.76
1131,91955.73
11,91714.29
46,91697.77
1589,91599.93
2259,91578.59
800,91572.3
6961,91494.49
1762,91434.63
12,91344.29
1419,91245.68
762,91187.97
81,91161.59
869,91039.21
74224,90966.16
81540,90945.94
87,90812.88
2882,90664
132,90507.8
380708,90468.17
284,90427.94
408,90269.37
7227,90161.61
1899,89658.51
174,89496.88
612,89485.06
129,89477.82
336,89449.79
720,89436.79
4583,89339.1
212,89174.8
266,89028.22
1092,89004.1
652,88985.58
8912,88762.52
37,88750.67
1744,88687.18
46,88501.76
2392,88281.02
2414,88249.12
97,88237.72
3641,88150.27
275,88149.64
1266,88018.09
4376,87905.38
4587,87740.97
145,87703.08
718,87642.06
178,87534.67
68116,87484.96
126,87413.86
4495,87406.8
296,87391.7
4394,87165.14
243,87141.65
5155,87067.41
1009,87055.14
581,87016.36
1272,87009.6
1897,87005.54
75,86865.56
830,86710.75
179,86609.63
458,86475.81
1553,86320.27
118,86235.62
848,86135.93
717,85985.75
38,85843.02
61595,85809.69
9550,85793.4
2425,85787.56
21506,85651.83
1217,85625.07
145,85571.07
4387,85535.96
361,85530.71
3266,85428.78
119,85422.84
2837,85070.09
347,84919.07
61,84903.28
2767,84864.2
68,84797.8
541,84770.68
98,84719.45
1088,84646.42
531,84562.06
2714,84558.5
55,84264.78
472,84259.39
432,84243.99
15593,83749.92
83,83722.22
368,83672.09
818,83645.43
882,83527.84
2244,83493.36
26705,83450.78
433,83431.42
438,83216.77
222,83166.37
236,83120.64
15307,82937.16
88,82805.78
42,82802.44
492780,82788.22
361,82678.74
1554,82676.32
597,82621.37
1331,82424.57
5510,82414.48
50,82345.44
637,82313.15
8860,82305.31
662,82294.43
11886,82129.01
1569,82128.24
7295,81926.96
2948,81905.13
59,81842.42
5526,81832.08
15634,81763.41
3469,81648.01
738,81558.29
1647,81525.41
12,81427.63
261,81374.57
408,81349.17
1699,81279.87
955,81113.82
1595,81084
938,80972.37
36,80888.8
426,80840.62
929,80775.94
167,80687.24
29,80438.78
31,80323.02
542,80213.42
9941,80200.36
4377,80196.07
2199,80192.82
838,80090.65
171,80056.72
36,80042.17
35,79900.78
479,79669.58
13590,79644.87
3329,79602.9
7927,79561.22
393,79498.39
1978,79428.48
902,79379.41
1916,79371.22
76,79362.58
2143,79187.24
399,79170.04
361078,79010.91
1324,78940.4
3395,78913.64
42,78564.69
429,78516.45
5691,78512.23
7766,78438.81
300,78380.34
1500,78326.78
992,78270.74
24,78184.24
636,77953.21
2251,77903.24
89810,77900
3833,77877.75
1681,77869.79
14,77860.47
25,77678.23
22863,77675.36
852,77499.96
2188,77415.61
441,77397.45
321,77329.13
