SKU,Compras,Ventas
1754638,6,3
1754642,140,116
1754643,3,1
1754644,2,1
1754646,3,1
1754647,3,1
1754648,3,1
1754649,1,1
1754650,2,1
1754653,5,1
1754654,11,7
1754655,4,3
1754656,3,3
1754658,16,13
1754659,3,2
1754660,14,10
1754664,4,1
1754665,3,1
1754666,3,2
1754667,5,1
1754668,2,2
1754670,2,1
1754671,2,1
1754672,2,1
1754673,20,12
1754674,6,4
1754675,3,2
1754676,5,1
1754677,4,2
1754678,4,3
1754679,2,1
1754680,7,4
1754681,3,1
1754682,3,2
1754683,4,2
1754684,6,1
1754686,6,4
1754687,4,2
1754689,3,2
1754690,12,6
1754694,6,5
1754695,20,15
1754696,4,2
1754697,6,3
1754698,4,2
1754699,11,8
1754700,2,1
1754701,5,3
1754702,5,4
1754703,5,3
1754704,2,1
1754705,10,6
1754706,4,2
1754707,30,5
1754708,38,24
1754709,6,2
1754710,10,8
1754711,11,7
1754712,6,5
1754713,6,2
1754714,13,8
1754715,13,9
1754716,12,3
1754717,36,23
1754718,20,2
1754719,21,4
1754720,10,3
1754721,21,17
1754722,289,265
1754723,227,208
1754724,25,20
1754725,24,19
1754728,65,41
1754729,4,3
1754730,25,25
1754731,34,30
1754732,39,37
1754734,14,6
1754735,121,106
1754736,10,1
1754737,18,13
1754738,10,4
1754739,10,2
1754740,15,11
1754742,6,1
1754743,5,3
1754745,6,3
1754746,3,1
1754747,6,4
1754748,20,20
1754749,7,4
1754750,2,1
1754751,6,2
1754752,19,12
1754753,5,4
1754754,3,3
1754755,12,9
1754756,14,12
1754757,53,47
1754758,16,15
1754759,310,264
1754760,12,10
1754761,6,2
1754762,8,1
1754763,8,8
1754764,5,3
1754765,173,162
1754766,87,77
1754767,9,4
1754768,115,94
1754769,7,5
1754771,6,3
1754772,9,8
1754773,9,8
1754774,38,32
1754775,188,178
1754776,18,12
1754777,48,33
1754778,11,7
1754779,26,26
1754780,12,11
1754781,19,11
1754782,36,30
1754783,77,63
1754784,39,39
1754785,6,3
1754786,23,20
1754787,7,1
1754788,25,20
1754789,4,2
1754790,6,3
1754791,2,2
1754792,18,15
1754793,5,1
1754794,3,1
1754795,21,2
1754796,20,7
1754797,289,256
1754798,18,3
1754799,13,4
1754800,10,2
1754801,11,5
1754802,19,2
1754803,5,2
1754805,5,2
1754806,3,2
1754807,8,6
1754809,248,248
1754810,50,40
1754811,10,2
1754812,33,28
1754813,189,189
1754814,15,12
1754815,185,177
1754816,31,13
1754817,10,1
1754818,13,1
1754819,6,4
1754820,9,5
1754821,163,144
1754822,203,175
1754823,352,293
1754824,37,30
1754825,12,8
1754826,28,19
1754827,13,12
1754828,19,12
1754831,36,26
1754832,12,5
1754833,12,4
1754834,45,33
1754835,17,13
1754836,14,2
1754837,28,17
1754838,5,3
1754839,12,8
1754840,31,17
1754841,27,21
1754842,23,18
1754843,20,14
1754845,15,7
1754846,15,11
1754847,15,4
1754850,20,18
1754851,18,11
1754852,16,7
1754853,10,1
1754854,58,50
1754855,19,11
1754856,10,9
1754858,7,5
1754859,8,6
1754860,8,6
1754861,5,2
1754862,12,8
1754864,25,20
1754865,12,7
1754866,24,22
1754867,12,1
1754868,7,3
1754869,27,21
1754871,7,3
1754872,13,3
1754873,266,209
1754874,13,3
1754875,19,7
1754876,20,6
1754877,7,5
1754878,7,5
1754879,124,107
1754880,7,7
1754881,6,2
1754882,8,5
1754883,12,1
1754884,6,1
1754885,20,14
1754886,5,1
1754887,10,1
1754888,13,6
1754889,12,1
1754890,12,4
1754891,12,4
1754892,22,16
1754893,12,4
1754894,6,1
1754895,6,1
1754896,5,3
1754897,3,1
1754898,5,1
1754899,4,3
1754900,8,4
1754901,16,14
1754902,6,1
1754904,13,4
1754905,7,4
1754906,8,4
1754907,6,3
1754908,6,1
1754910,14,14
1754911,17,13
1754912,7,3
1754913,12,3
1754914,12,4
1754915,79,60
1754916,15,11
1754917,7,3
1754918,26,24
1754919,20,14
1754920,12,2
1754921,13,7
1754922,10,8
1754923,20,16
1754924,17,13
1754925,6,5
1754926,8,7
1754927,12,3
1754928,7,1
1754929,6,1
1754931,6,3
1754934,7,5
1754935,5,3
1754936,5,2
1754938,12,5
1754939,5,1
1754940,6,3
1754941,10,10
1754943,15,10
1754944,4,3
1754945,321,280
1754946,22,15
1754947,26,25
1754948,24,21
1754949,14,11
1754950,5,3
1754951,2,1
1754952,16,12
1754953,39,34
1754954,3,1
1754955,68,62
1754956,41,33
1754957,43,41
1754958,56,41
1754959,34,29
1754960,262,204
1754961,7,5
1754962,13,9
1754963,8,8
1754964,3,3
1754965,17,9
1754966,6,3
1754967,6,1
1754968,3,1
1754969,7,2
1754970,28,20
1754971,73,56
1754972,3,2
1754974,4,3
1754975,4,3
1754976,2,1
1754977,2,1
1754978,6,1
1754979,14,12
1754980,12,9
1754981,17,13
1754982,12,9
1754983,12,12
1754984,7,6
1754985,12,10
1754986,5,3
1754988,4,1
1754989,4,1
1754990,4,1
1754992,8,7
1754993,4,3
1754994,67,55
1754995,20,13
1754996,47,36
1754997,33,22
1754998,4,1
